필드, 값, 설명
법령ID, int, 법령ID
공포일자, int, 공포일자
공포번호, int, 공포번호
언어, string, 언어종류
법종구분, string, 법종류의 구분
법종구분코드, string, 법종구분코드
법령명_한글, string, 한글법령명
법령명_한자, string, 법령명_한자
법령명약칭, string, 법령명약칭
제명변경여부, string, 제명변경여부
한글법령여부, string, 한글법령여부
편장절관, int, 편장절관 일련번호
소관부처코드, int, 소관부처코드
소관부처, string, 소관부처명
전화번호, string, 전화번호
시행일자, int, 시행일자
제개정구분, string, 제개정구분
별표편집여부, string, 별표편집여부
공포법령여부, string, 공포법령여부
소관부처명, string, 소관부처명
소관부처코드, int, 소관부처코드
부서명, string, 연락부서명
부서연락처, string, 연락부서 전화번호
공동부령구분, string, 공동부령의 구분
구분코드, string, 구분코드(공동부령구분 구분코드)
공포번호, string, 공포번호(공동부령의 공포번호)
조문번호, int, 조문번호
조문여부, string, 조문여부
조문제목, string, 조문제목
조문시행일자, int, 조문시행일자
조문제개정유형, string, 조문제개정유형
조문이동이전, int, 조문이동이전
조문이동이후, int, 조문이동이후
조문변경여부, string, 조문변경여부
조문내용, string, 조문내용
항번호, int, 항번호
항제개정유형, string, 항제개정유형
항내용, string, 항내용
호번호, int, 호번호
호내용, string, 호내용
부칙공포일자, int, 부칙공포일자
부칙공포번호, int, 부칙공포번호
부칙내용, string, 부칙내용
별표번호, int, 별표번호
별표가지번호, int, 별표가지번호
별표구분, string, 별표구분
별표제목, string, 별표제목
별표서식파일링크, string, 별표서식파일링크
별표HWP파일명, string, 별표 HWP 파일명
별표서식PDF파일링크, string, 별표서식PDF파일링크
별표PDF파일명, string, 별표 PDF 파일명
별표이미지파일명, string, 별표 이미지 파일명
별표내용, string, 별표내용
개정문내용, string, 개정문내용
제개정이유내용, string, 제개정이유내용
법령키, int, 법령키
법령ID, int, 법령ID
공포일자, int, 공포일자
공포번호, int, 공포번호
언어, string, 언어 구분
법령명_한글, string, 법령명을 한글로 제공
법령명_한자, string, 법령명을 한자로 제공
법종구분코드, string, 법종구분코드
법종구분명, string, 법종구분명
제명변경여부, string, 제명변경여부
한글법령여부, string, 한글법령여부
편장절관, int, 편장절관
소관부처코드, int, 소관부처 코드
소관부처, string, 소관부처명
전화번호, string, 전화번호
시행일자, int, 시행일자
제개정구분, string, 제개정구분명
조문별시행일자, string, 조문별시행일자
별표편집여부, string, 별표편집여부
공포법령여부, string, 공포법령여부
시행일기준편집여부, string, 시행일기준편집여부
조문번호, int, 조문번호
조문여부, string, 조문여부
조문제목, string, 조문제목
조문시행일자, string, 조문시행일자
조문이동이전, int, 조문이동이전번호
조문이동이후, int, 조문이동이후번호
조문변경여부, string, 조문변경여부
조문내용, string, 조문내용
항번호, int, 항번호
항내용, string, 항내용
호번호, int, 호번호
호내용, string, 호내용
목번호, string, 목번호
목내용, string, 목내용
행정규칙일련번호, int, 행정규칙일련번호
행정규칙명, string, 행정규칙명
행정규칙종류, string, 행정규칙종류
행정규칙종류코드, string, 행정규칙종류코드
발령일자, int, 발령일자
발령번호, string, 발령번호
제개정구분명, string, 제개정구분명
제개정구분코드, string, 제개정구분코드
조문형식여부, string, 조문형식여부
행정규칙ID, int, 행정규칙
소관부처명, string, 소관부처명
소관부처코드, string, 소관부처코드
상위부처명, string, 상위부처명
담당부서기관코드, string, 담당부서기관코드
담당부서기관명, string, 담당부서기관명
담당자명, string, 담당자명
전화번호, string, 전화번호
현행여부, string, 현행여부
시행일자, string, 시행일자
생성일자, string, 생성일자
조문내용, string, 조문내용
부칙, string, 부칙
부칙공포일자, int, 부칙공포일자
부칙공포번호, int, 부칙공포번호
부칙내용, string, 부칙내용
별표, string, 별표
별표번호, int, 별표번호
별표가지번호, int, 별표가지번호
별표구분, string, 별표구분
별표제목, string, 별표제목
별표서식파일링크, string, 별표서식파일링크
별표서식PDF파일링크, string, 별표서식PDF파일링크
별표내용, string, 별표내용
